,0
0,SRC_UID
1,PRODUCT_STRATEGY
2,ASSET_NAME
3,FUND_NAME
4,STRATEGY_CAPABILITY
5,IS_STRATEGIC
6,EOM
7,ADMINSTRATION_FEES
8,MANAGEMENT_FEES
9,MULTI_MANAGER_STRUCTURE
10,EXPERIENCE
11,SOFTCLOSING
12,RISK_LEVEL
13,DATE_SHARE
14,CNT_SHARE
15,QUANTITY
16,IN_FLOWS
17,OUT_FLOWS
18,NET_FLOWS
19,AUM
20,BENCH_PERF_1_MONTH
21,BENCH_PERF_1_YEAR
22,BENCH_PERF_3_MONTH
23,BENCH_PERF_6_MONTH
24,BENCH_VOL_1_MONTH
25,BENCH_VOL_3_MONTH
26,BENCH_VOL_6_MONTH
27,BENCH_VOLATILITY_1_YEAR
28,NAV_PERF_1_MONTH
29,NAV_PERF_1_YEAR
30,NAV_PERF_3_MONTH
31,NAV_PERF_6_MONTH
32,NAV_VOL_1_MONTH
33,NAV_VOL_3_MONTH
34,NAV_VOL_6_MONTH
35,NAV_VOLATILITY_1_YEAR
36,BENCH_VOL_SINCE_INCEPT
37,NAV_PERF_COMPOUND_CREATION
38,NAV_VOL_SINCE_INCEPT
39,FUND_SIZE
40,SUB_FUNDS_SHARE_PARTS
41,SUB_FUNDS_SHARE_SIZE_SF_CCY
42,DOWNLOADED_DOCUMENTS
43,WEIGHTED
44,COUNTRY
45,PSU
46,PSU_SCORE
47,POSITIVE_RFP
48,EVENT_IMPACT
